Loop,LinearRegression,Ridge,Lasso,ElasticNet,BayesianRidge
0,60.758,60.867,60.759,60.863,60.865
1,60.728,61.12,60.73,60.707,60.486
2,60.924,60.406,60.922,59.973,59.987
3,75.896,75.704,75.896,75.382,75.368
4,54.462,53.856,54.459,53.214,52.765
5,68.263,67.997,68.263,67.599,67.538
6,77.726,77.854,77.728,77.831,77.854
7,71.917,71.79,71.917,72.944,72.02
8,51.742,51.094,51.739,51.265,51.101
9,61.007,60.283,61.003,60.137,60.132
